Symptoms,Disease
"anxiety, diarrhea, sneezing, abdominal pain, headache, sweating, muscle pain,7",Thyroid Disorder
"insomnia, anxiety, back pain, sneezing, tremors, abdominal pain, runny nose,7",Common Cold
"vomiting, insomnia, fever, blurred vision, sweating, anxiety,6",Pneumonia
"weight loss, cough, fever, shortness of breath, sneezing, nausea,6",COVID-19
"insomnia, cough, fever, anxiety, vomiting, dizziness,6",Gastritis
"nausea, fever, cough,3",Migraine
"fever, depression, fatigue, back pain, weight loss,5",Arthritis
"depression, dizziness, nausea,3",Common Cold
"headache, rash, insomnia, shortness of breath,4",Tuberculosis
"anxiety, nausea, insomnia, swelling, vomiting,5",Hypertension
"insomnia, chest pain, vomiting, appetite loss,4",Bronchitis
"diarrhea, blurred vision, fever, vomiting,4",Epilepsy
"headache, sneezing, muscle pain, back pain,4",Asthma
"depression, shortness of breath, chest pain, sneezing, tremors, diarrhea,6",Anxiety
"fatigue, tremors, fever, back pain, runny nose, depression, weight loss,7",Thyroid Disorder
"sneezing, abdominal pain, chest pain, dizziness, vomiting, back pain,6",Liver Disease
"rash, insomnia, swelling, runny nose,4",Hypertension
"swelling, sore throat, insomnia,3",Ulcer
"vomiting, back pain, joint pain, tremors,4",Influenza
"blurred vision, dizziness, fever, muscle pain, appetite loss, sweating,6",Hypertension
"fatigue, appetite loss, joint pain, diarrhea, back pain,5",Thyroid Disorder
"tremors, rash, insomnia, runny nose, depression,5",Obesity
"fever, diarrhea, shortness of breath, insomnia,4",Food Poisoning
"nausea, runny nose, sweating,3",Depression
"anxiety, headache, runny nose, sweating, depression, abdominal pain, appetite loss,7",IBS
"back pain, fever, weight gain, blurred vision, sneezing,5",Parkinson's
"weight gain, diarrhea, anxiety, depression,4",Common Cold
"swelling, appetite loss, weight gain, muscle pain, rash, tremors, runny nose,7",Common Cold
"depression, joint pain, shortness of breath, back pain, rash,5",Bronchitis
"swelling, sweating, runny nose,3",Arthritis
"weight gain, headache, appetite loss, weight loss,4",Asthma
"fatigue, vomiting, weight loss, chest pain,4",Thyroid Disorder
"swelling, diarrhea, sweating,3",Tuberculosis
"chest pain, back pain, nausea,3",Allergy
"fever, swelling, headache, anxiety,4",Common Cold
"tremors, abdominal pain, sneezing, depression, nausea,5",Dementia
"rash, headache, cough, fever, blurred vision, nausea,6",Obesity
"sore throat, abdominal pain, muscle pain, fever,4",Parkinson's
"shortness of breath, diarrhea, abdominal pain,3",Anxiety
"tremors, diarrhea, fever, rash, sweating, swelling,6",Asthma
"diarrhea, fever, cough, back pain, weight gain, sneezing,6",Migraine
"headache, runny nose, insomnia, diarrhea, anxiety,5",Diabetes
"weight loss, sore throat, diarrhea, weight gain, fatigue,5",Obesity
"rash, swelling, joint pain, anxiety, chest pain, sore throat,6",Asthma
"fever, fatigue, diarrhea, weight gain, abdominal pain,5",COVID-19
"nausea, anxiety, rash, diarrhea, blurred vision,5",Stroke
"fatigue, abdominal pain, weight gain, shortness of breath, nausea, weight loss,6",Bronchitis
"swelling, tremors, abdominal pain, rash, muscle pain, insomnia, diarrhea,7",Anemia
"swelling, dizziness, headache, sore throat, appetite loss, cough, blurred vision,7",Arthritis
"shortness of breath, weight loss, blurred vision, rash, appetite loss, sore throat,6",COVID-19
"shortness of breath, weight loss, sneezing, cough, vomiting, headache,6",Dermatitis
"anxiety, rash, back pain, cough,4",Common Cold
"weight loss, abdominal pain, shortness of breath, nausea, diarrhea, insomnia, rash,7",Depression
"muscle pain, weight gain, weight loss,3",Tuberculosis
"diarrhea, dizziness, depression,3",Stroke
"tremors, headache, sweating, shortness of breath, insomnia, chest pain,6",Anemia
"muscle pain, fatigue, rash, insomnia, sneezing,5",Gastritis
"dizziness, insomnia, rash, tremors,4",Anxiety
"blurred vision, weight loss, chest pain, runny nose, anxiety,5",Ulcer
"weight gain, anxiety, shortness of breath, joint pain, fatigue,5",Influenza
"cough, muscle pain, blurred vision, abdominal pain, chest pain, back pain,6",Asthma
"chest pain, fever, anxiety, back pain, sore throat, insomnia,6",Liver Disease
"runny nose, depression, cough, fever, back pain, tremors, sore throat,7",Tuberculosis
"cough, swelling, headache, sweating, vomiting, appetite loss, rash,7",Chronic Kidney Disease
"appetite loss, depression, abdominal pain, fever, cough, weight loss, blurred vision,7",Dementia
"weight loss, depression, anxiety, chest pain, joint pain,5",Epilepsy
"nausea, shortness of breath, blurred vision,3",COVID-19
"muscle pain, swelling, anxiety,3",Liver Disease
"sneezing, blurred vision, nausea,3",Diabetes
"blurred vision, sore throat, weight loss, muscle pain,4",Anxiety
"vomiting, appetite loss, insomnia, weight gain,4",Dermatitis
"muscle pain, blurred vision, rash, weight gain, chest pain, insomnia,6",Liver Disease
"sneezing, sweating, depression, insomnia, abdominal pain, rash, dizziness,7",Ulcer
"swelling, abdominal pain, anxiety,3",Sinusitis
"fatigue, abdominal pain, back pain, runny nose, fever, muscle pain, vomiting,7",Chronic Kidney Disease
"shortness of breath, runny nose, headache, blurred vision, muscle pain, sweating,6",Stroke
"back pain, abdominal pain, fatigue, diarrhea, muscle pain, sore throat,6",Anxiety
"joint pain, chest pain, cough, sneezing,4",Parkinson's
"insomnia, weight loss, headache, sweating,4",Influenza
"dizziness, blurred vision, anxiety, muscle pain, nausea, shortness of breath, sore throat,7",Chronic Kidney Disease
"anxiety, back pain, fatigue, headache, diarrhea,5",Heart Disease
"shortness of breath, nausea, sore throat,3",Arthritis
"tremors, shortness of breath, swelling, dizziness, back pain,5",Tuberculosis
"chest pain, vomiting, weight loss, headache,4",Heart Disease
"insomnia, anxiety, swelling, weight gain, headache, cough,6",Epilepsy
"blurred vision, swelling, sore throat, rash, weight gain,5",Hypertension
"blurred vision, weight loss, vomiting, chest pain,4",Obesity
"rash, sweating, tremors, headache,4",Epilepsy
"sneezing, depression, back pain, sweating, sore throat, shortness of breath,6",Common Cold
"diarrhea, joint pain, anxiety, fatigue,4",Chronic Kidney Disease
"chest pain, nausea, diarrhea, sore throat,4",Asthma
"swelling, blurred vision, back pain, sore throat,4",Dementia
"rash, nausea, chest pain,3",Influenza
"fever, fatigue, nausea, swelling, sneezing, sweating, back pain,7",Common Cold
"chest pain, fever, nausea, runny nose, cough, depression, weight gain,7",Arthritis
"fatigue, sore throat, swelling, appetite loss,4",Food Poisoning
"abdominal pain, sweating, muscle pain, back pain, nausea, rash,6",Pneumonia
"rash, muscle pain, diarrhea,3",Dermatitis
"insomnia, joint pain, depression, dizziness, fever,5",IBS
"fever, swelling, back pain, muscle pain, nausea, abdominal pain,6",Dementia
"sweating, chest pain, anxiety, nausea, weight loss, depression,6",Anxiety
"appetite loss, swelling, sore throat,3",Migraine
"diarrhea, rash, swelling, chest pain, vomiting, fatigue,6",Bronchitis
"insomnia, sneezing, back pain, cough,4",COVID-19
"abdominal pain, appetite loss, vomiting, weight gain, back pain, depression,6",Chronic Kidney Disease
"sneezing, anxiety, blurred vision, sore throat, fever, diarrhea, cough,7",Dermatitis
"weight gain, anxiety, fatigue, joint pain, sore throat, abdominal pain,6",Anxiety
"joint pain, runny nose, cough, swelling, muscle pain, shortness of breath,6",Parkinson's
"blurred vision, swelling, dizziness,3",Hypertension
"chest pain, fever, joint pain,3",Anxiety
"rash, chest pain, headache,3",Common Cold
"shortness of breath, cough, weight loss, abdominal pain, insomnia, dizziness,6",Food Poisoning
"chest pain, sore throat, diarrhea, swelling, abdominal pain,5",Heart Disease
"back pain, diarrhea, swelling, insomnia,4",Stroke
"runny nose, vomiting, diarrhea, weight loss,4",IBS
"sneezing, anxiety, abdominal pain,3",Obesity
"weight loss, blurred vision, sore throat, cough,4",Dermatitis
"dizziness, anxiety, depression,3",Pneumonia
"fatigue, shortness of breath, fever, insomnia, sweating, abdominal pain,6",Ulcer
"anxiety, cough, sneezing, diarrhea, swelling, weight loss,6",Pneumonia
"cough, anxiety, fatigue, shortness of breath,4",Parkinson's
"insomnia, joint pain, weight loss,3",Tuberculosis
"sweating, anxiety, shortness of breath, runny nose, tremors, vomiting, back pain,7",Sinusitis
"shortness of breath, joint pain, anxiety, fever, depression, muscle pain,6",Arthritis
"cough, diarrhea, sweating, abdominal pain, back pain, headache,6",Parkinson's
"weight loss, depression, blurred vision, nausea,4",Dermatitis
"dizziness, tremors, insomnia, sneezing, headache, runny nose,6",Hypertension
"swelling, depression, dizziness, fever,4",Parkinson's
"runny nose, headache, cough, muscle pain, anxiety, joint pain, rash,7",Dermatitis
"back pain, swelling, runny nose, weight loss, abdominal pain, sneezing,6",IBS
"sweating, abdominal pain, vomiting, anxiety, sneezing,5",Epilepsy
"vomiting, headache, anxiety, dizziness, muscle pain, abdominal pain,6",IBS
"chest pain, abdominal pain, swelling, weight gain, diarrhea, joint pain,6",Food Poisoning
"weight gain, blurred vision, tremors,3",Liver Disease
"vomiting, abdominal pain, sore throat,3",Common Cold
"vomiting, weight loss, fever, sore throat, rash,5",Influenza
"fever, swelling, rash,3",Food Poisoning
"chest pain, blurred vision, weight loss, dizziness,4",Food Poisoning
"dizziness, joint pain, sore throat, shortness of breath,4",Depression
"tremors, appetite loss, runny nose, joint pain,4",Chronic Kidney Disease
"nausea, swelling, rash, sneezing,4",Thyroid Disorder
"anxiety, rash, blurred vision, insomnia, diarrhea, depression,6",Pneumonia
"swelling, sweating, weight gain, vomiting, insomnia, muscle pain,6",Heart Disease
"weight gain, fever, shortness of breath, back pain, appetite loss,5",Diabetes
"anxiety, diarrhea, weight gain,3",Common Cold
"weight gain, abdominal pain, sore throat, blurred vision, back pain, sweating, chest pain,7",Depression
"appetite loss, rash, sneezing, blurred vision, chest pain,5",Anxiety
"dizziness, weight gain, rash, depression,4",Allergy
"swelling, weight gain, dizziness, headache, sweating, blurred vision,6",Stroke
"cough, muscle pain, headache,3",Diabetes
"headache, fatigue, insomnia, cough, blurred vision,5",Depression
"sore throat, vomiting, nausea,3",Parkinson's
"fever, depression, swelling, chest pain, appetite loss, sore throat,6",Dermatitis
"shortness of breath, swelling, vomiting, appetite loss,4",Tuberculosis
"abdominal pain, weight loss, rash, sweating, dizziness,5",Parkinson's
"anxiety, sneezing, shortness of breath, nausea,4",Dermatitis
"rash, cough, headache, insomnia, joint pain,5",Stroke
"shortness of breath, swelling, insomnia,3",Parkinson's
"sweating, rash, anxiety, dizziness, muscle pain, appetite loss, fatigue,7",Hypertension
"diarrhea, muscle pain, blurred vision,3",Migraine
"anxiety, appetite loss, vomiting, sneezing, sweating, joint pain, diarrhea,7",Anxiety
"sneezing, vomiting, runny nose, chest pain,4",Food Poisoning
"chest pain, shortness of breath, weight loss, sneezing, appetite loss, weight gain, fever,7",Pneumonia
"tremors, chest pain, sweating, cough, weight gain, fever, swelling,7",Pneumonia
"abdominal pain, runny nose, headache, dizziness, tremors,5",Depression
"nausea, tremors, appetite loss,3",Hypertension
"depression, rash, chest pain, cough,4",Obesity
"insomnia, shortness of breath, swelling, appetite loss,4",Asthma
"weight loss, back pain, rash, insomnia, cough, blurred vision,6",Heart Disease
"vomiting, sneezing, sore throat, anxiety,4",Sinusitis
"sore throat, fever, headache, blurred vision, back pain,5",Epilepsy
"weight loss, fatigue, weight gain, appetite loss, swelling,5",Gastritis
"tremors, fever, appetite loss, joint pain,4",Depression
"tremors, fever, sore throat, anxiety, appetite loss,5",Arthritis
"blurred vision, runny nose, weight gain, dizziness, fever, chest pain, sweating,7",Parkinson's
"nausea, headache, dizziness, cough, sore throat, runny nose,6",Common Cold
"runny nose, insomnia, chest pain,3",Parkinson's
"anxiety, nausea, vomiting,3",Dementia
"blurred vision, chest pain, depression,3",Liver Disease
"muscle pain, cough, back pain,3",Ulcer
"headache, sneezing, vomiting, weight gain, tremors,5",IBS
"nausea, back pain, tremors,3",COVID-19
"headache, sweating, sore throat, abdominal pain,4",Dermatitis
"fatigue, muscle pain, headache,3",Ulcer
"rash, sore throat, joint pain, anxiety, muscle pain,5",Heart Disease
"shortness of breath, fever, sweating, weight loss,4",Common Cold
"dizziness, diarrhea, fatigue, tremors, blurred vision, cough, headache,7",Migraine
"weight gain, diarrhea, anxiety, blurred vision,4",Chronic Kidney Disease
"rash, shortness of breath, dizziness, weight gain, sweating, weight loss,6",Arthritis
"insomnia, dizziness, appetite loss, headache, back pain, sneezing, anxiety,7",Influenza
"cough, runny nose, nausea, rash, tremors, anxiety,6",Anxiety
"appetite loss, fever, headache, cough,4",Arthritis
"fever, dizziness, vomiting, appetite loss,4",Diabetes
"weight loss, fatigue, vomiting, shortness of breath,4",Gastritis
"dizziness, headache, diarrhea, sweating, joint pain, back pain,6",Gastritis
"fatigue, abdominal pain, muscle pain, nausea,4",Stroke
"rash, appetite loss, tremors, dizziness,4",Arthritis
"swelling, depression, weight gain, anxiety, joint pain, nausea, tremors,7",Sinusitis
"depression, anxiety, sneezing, swelling, fever,5",Liver Disease
"joint pain, nausea, sore throat, rash, dizziness,5",Chronic Kidney Disease
"joint pain, weight gain, fatigue,3",Tuberculosis
"appetite loss, chest pain, fatigue, insomnia, weight gain, fever, shortness of breath,7",Food Poisoning
"dizziness, chest pain, back pain, sneezing, abdominal pain, headache,6",Influenza
"abdominal pain, tremors, joint pain, muscle pain, appetite loss, sore throat, insomnia,7",Influenza
"tremors, fever, runny nose,3",Dermatitis
"fever, muscle pain, sore throat,3",Parkinson's
"vomiting, fatigue, rash,3",Dermatitis
"nausea, fatigue, muscle pain, vomiting, rash,5",Ulcer
"chest pain, swelling, rash, fever, runny nose,5",Heart Disease
"abdominal pain, weight gain, fatigue, dizziness, rash, anxiety, diarrhea,7",Ulcer
"rash, insomnia, sweating, fatigue, chest pain, headache,6",Ulcer
"headache, nausea, fatigue, fever, swelling,5",Migraine
"fever, tremors, fatigue, chest pain, dizziness, nausea,6",Hypertension
"fatigue, swelling, chest pain, headache, depression, cough, shortness of breath,7",Tuberculosis
"blurred vision, weight gain, dizziness, diarrhea,4",Dementia
"sore throat, blurred vision, abdominal pain, chest pain, muscle pain, back pain,6",Common Cold
"fatigue, depression, shortness of breath, anxiety, cough,5",Asthma
"fatigue, diarrhea, weight gain, vomiting,4",Bronchitis
"headache, back pain, swelling, cough, insomnia, runny nose,6",Anemia
"sneezing, muscle pain, insomnia, nausea, diarrhea, abdominal pain,6",Food Poisoning
"joint pain, diarrhea, fever, appetite loss,4",Stroke
"vomiting, cough, appetite loss,3",Epilepsy
"swelling, tremors, shortness of breath, nausea, joint pain, vomiting, insomnia,7",Ulcer
"swelling, sneezing, rash, sore throat, dizziness,5",Food Poisoning
"diarrhea, nausea, sweating, anxiety, weight gain, sore throat, weight loss,7",Parkinson's
"anxiety, sore throat, appetite loss,3",Sinusitis
"sore throat, weight gain, sweating,3",Migraine
"runny nose, depression, appetite loss, fatigue, tremors, weight gain,6",Anxiety
"depression, weight loss, runny nose, sweating, joint pain,5",Epilepsy
"sneezing, blurred vision, back pain, appetite loss, chest pain, shortness of breath,6",COVID-19
"rash, runny nose, chest pain, vomiting, sneezing, dizziness,6",Anxiety
"sore throat, vomiting, headache, weight loss, fatigue, abdominal pain, fever,7",Chronic Kidney Disease
"rash, abdominal pain, shortness of breath, insomnia, dizziness,5",Parkinson's
"shortness of breath, cough, appetite loss, runny nose, fatigue, blurred vision,6",Diabetes
"sore throat, vomiting, fatigue, cough, shortness of breath, muscle pain, rash,7",Bronchitis
"rash, muscle pain, shortness of breath, dizziness, appetite loss,5",Influenza
"cough, diarrhea, abdominal pain, nausea, muscle pain, dizziness, fatigue,7",Diabetes
"weight gain, headache, joint pain, swelling,4",Ulcer
"anxiety, rash, fatigue,3",Influenza
"insomnia, appetite loss, nausea,3",Parkinson's
"fatigue, rash, weight loss, shortness of breath, headache, sweating,6",Ulcer
"swelling, sneezing, blurred vision, chest pain, nausea, back pain, diarrhea,7",Bronchitis
"sore throat, blurred vision, swelling, vomiting,4",Epilepsy
"fever, vomiting, chest pain, tremors, anxiety, runny nose,6",Food Poisoning
"sore throat, shortness of breath, weight loss, rash, chest pain, diarrhea, joint pain,7",Dermatitis
"abdominal pain, tremors, back pain, fatigue, weight loss,5",Allergy
"tremors, swelling, dizziness, headache, weight gain, sneezing, muscle pain,7",Migraine
"weight loss, dizziness, fatigue, weight gain, headache, joint pain,6",Heart Disease
"insomnia, weight loss, sweating, joint pain, anxiety,5",Bronchitis
"nausea, insomnia, anxiety, cough, sweating,5",Anemia
"joint pain, fatigue, cough,3",Parkinson's
"fatigue, sneezing, cough,3",Pneumonia
"weight loss, depression, insomnia, sneezing, diarrhea, swelling,6",Anemia
"fatigue, back pain, insomnia, runny nose,4",Food Poisoning
"diarrhea, weight gain, sneezing, swelling, cough, depression,6",Influenza
"muscle pain, headache, weight gain,3",Asthma
"sweating, runny nose, sneezing,3",Bronchitis
"muscle pain, sneezing, back pain, shortness of breath, sore throat, insomnia,6",Arthritis
"weight loss, dizziness, tremors, insomnia, sweating,5",IBS
"appetite loss, depression, chest pain, shortness of breath, insomnia,5",Allergy
"back pain, anxiety, abdominal pain, joint pain, chest pain,5",Influenza
"weight loss, back pain, chest pain, dizziness, fatigue, nausea,6",Epilepsy
"muscle pain, runny nose, diarrhea, fatigue, dizziness, rash,6",Migraine
"sweating, weight loss, vomiting, nausea, sore throat, back pain,6",COVID-19
"muscle pain, abdominal pain, rash, fever, joint pain, vomiting, chest pain,7",Pneumonia
"back pain, blurred vision, weight gain, sneezing, swelling, sore throat,6",Gastritis
"abdominal pain, sweating, back pain, weight loss, nausea, muscle pain,6",Allergy
"nausea, vomiting, rash, anxiety, abdominal pain,5",Diabetes
"dizziness, headache, rash,3",Common Cold
"tremors, nausea, dizziness, weight loss, joint pain, fatigue,6",Diabetes
"fever, blurred vision, weight loss, shortness of breath, back pain,5",COVID-19
"fatigue, rash, depression, chest pain, runny nose, tremors,6",Tuberculosis
"headache, sneezing, rash, runny nose, depression, vomiting,6",Obesity
"fatigue, tremors, depression, insomnia, anxiety, diarrhea,6",Common Cold
"anxiety, blurred vision, insomnia, appetite loss,4",Food Poisoning
"tremors, blurred vision, vomiting, diarrhea,4",Common Cold
"tremors, abdominal pain, depression, shortness of breath, insomnia,5",Asthma
"vomiting, insomnia, depression, abdominal pain, chest pain, joint pain, cough,7",Asthma
"back pain, anxiety, abdominal pain, fatigue, dizziness, tremors,6",COVID-19
"muscle pain, swelling, blurred vision, cough, insomnia, chest pain, sneezing,7",Hypertension
"chest pain, nausea, shortness of breath,3",Dermatitis
"joint pain, rash, abdominal pain, weight gain, vomiting,5",Stroke
"runny nose, muscle pain, weight loss,3",Migraine
"weight gain, anxiety, appetite loss, shortness of breath, fever,5",Epilepsy
"headache, sneezing, anxiety, runny nose, tremors, abdominal pain,6",Ulcer
"back pain, sore throat, chest pain, fever, swelling, insomnia,6",Migraine
"sneezing, anxiety, weight loss, fatigue, tremors, diarrhea, muscle pain,7",Influenza
"back pain, dizziness, headache, shortness of breath, rash, nausea,6",Gastritis
"depression, cough, blurred vision, sore throat,4",Sinusitis
"swelling, insomnia, sweating, depression,4",Epilepsy
"depression, dizziness, headache, sore throat, back pain, swelling, tremors,7",Allergy
"chest pain, appetite loss, muscle pain, diarrhea, vomiting, swelling, weight loss,7",Food Poisoning
"shortness of breath, headache, runny nose, muscle pain, weight gain, cough, fatigue,7",Arthritis
"anxiety, depression, cough, blurred vision, dizziness, diarrhea,6",Sinusitis
"anxiety, depression, diarrhea,3",Arthritis
"abdominal pain, appetite loss, sweating, blurred vision, muscle pain, dizziness, sore throat,7",Obesity
"muscle pain, nausea, weight gain, joint pain, blurred vision,5",Liver Disease
"blurred vision, dizziness, nausea, sore throat, weight gain,5",Food Poisoning
"fatigue, nausea, dizziness, weight loss, shortness of breath, fever,6",IBS
"abdominal pain, insomnia, diarrhea,3",Depression
"shortness of breath, muscle pain, cough, fever, back pain,5",Asthma
"cough, depression, tremors, sneezing, appetite loss,5",Anemia
"shortness of breath, tremors, swelling, anxiety, blurred vision, headache,6",Food Poisoning
"shortness of breath, weight loss, abdominal pain, joint pain,4",Asthma
"cough, fever, headache, nausea, sweating, insomnia, anxiety,7",Liver Disease
"vomiting, sore throat, blurred vision, back pain, sneezing,5",IBS
"dizziness, weight gain, muscle pain, headache, insomnia, back pain, depression,7",Sinusitis
"diarrhea, chest pain, insomnia, fatigue,4",Anxiety
"chest pain, sweating, diarrhea, depression,4",Anemia
"nausea, joint pain, tremors, anxiety, appetite loss,5",Ulcer
"diarrhea, anxiety, sore throat, joint pain, depression,5",Migraine
"joint pain, weight loss, appetite loss, anxiety, diarrhea,5",Parkinson's
"sweating, sore throat, joint pain, vomiting, anxiety, abdominal pain,6",IBS
"runny nose, headache, swelling,3",Depression
"appetite loss, dizziness, sneezing, chest pain,4",Pneumonia
"nausea, chest pain, muscle pain, depression,4",Depression
"anxiety, abdominal pain, fatigue, depression,4",Dermatitis
"shortness of breath, nausea, cough, swelling, joint pain,5",Gastritis
"anxiety, appetite loss, depression, tremors,4",Parkinson's
"weight loss, weight gain, back pain, shortness of breath, sweating, vomiting,6",Anemia
"runny nose, nausea, vomiting, abdominal pain, headache, cough,6",Pneumonia
"chest pain, weight loss, swelling, muscle pain,4",Pneumonia
"fatigue, fever, diarrhea, nausea, cough, headache, swelling,7",Liver Disease
"insomnia, nausea, weight loss, sore throat,4",Migraine
"swelling, blurred vision, chest pain, vomiting, sore throat,5",Dermatitis
"shortness of breath, fever, blurred vision, sweating, anxiety, chest pain,6",Liver Disease
"fatigue, chest pain, sore throat, tremors, weight gain, rash, abdominal pain,7",Ulcer
"muscle pain, blurred vision, tremors,3",Sinusitis
"vomiting, cough, rash,3",Food Poisoning
"vomiting, nausea, runny nose, weight gain, fatigue,5",Dementia
"muscle pain, sneezing, fatigue,3",Asthma
"muscle pain, back pain, blurred vision, weight loss, sore throat, insomnia, runny nose,7",Sinusitis
"chest pain, sweating, headache,3",Stroke
"insomnia, fatigue, dizziness, joint pain,4",Food Poisoning
"chest pain, appetite loss, tremors, sweating,4",Arthritis
"abdominal pain, sneezing, weight gain, headache, sweating, sore throat,6",Bronchitis
"diarrhea, runny nose, cough,3",Thyroid Disorder
"runny nose, anxiety, tremors, weight loss, back pain, fever, swelling,7",Anemia
"fatigue, runny nose, abdominal pain, muscle pain, sneezing,5",Sinusitis
"muscle pain, anxiety, diarrhea, weight gain,4",Parkinson's
"appetite loss, sneezing, nausea, fever, headache,5",Arthritis
"cough, chest pain, weight loss,3",Diabetes
"abdominal pain, depression, sore throat, diarrhea, weight loss, weight gain,6",Bronchitis
"abdominal pain, muscle pain, vomiting, insomnia,4",COVID-19
"appetite loss, dizziness, blurred vision, insomnia,4",Tuberculosis
"vomiting, sneezing, back pain, fatigue, cough, shortness of breath, swelling,7",Heart Disease
"dizziness, sweating, blurred vision, fatigue, fever, diarrhea, depression,7",Depression
"back pain, shortness of breath, fever,3",Heart Disease
"headache, fatigue, sweating, abdominal pain, weight loss, fever,6",Ulcer
"sweating, abdominal pain, weight gain, sore throat,4",Heart Disease
"sore throat, anxiety, weight gain, appetite loss,4",Epilepsy
"sweating, shortness of breath, chest pain, sore throat,4",IBS
"swelling, muscle pain, back pain, chest pain, insomnia, sore throat,6",COVID-19
"sneezing, back pain, sweating, dizziness, joint pain,5",Parkinson's
"shortness of breath, diarrhea, sore throat, dizziness,4",Allergy
"shortness of breath, weight gain, diarrhea,3",Asthma
"swelling, nausea, vomiting, rash,4",Epilepsy
"blurred vision, sneezing, sweating, nausea, swelling,5",Asthma
"sweating, runny nose, fatigue, anxiety, swelling,5",Thyroid Disorder
"dizziness, nausea, runny nose, insomnia, appetite loss, vomiting,6",Pneumonia
"insomnia, shortness of breath, fever, diarrhea,4",Anemia
"fever, blurred vision, nausea,3",Obesity
"muscle pain, blurred vision, shortness of breath,3",Chronic Kidney Disease
"muscle pain, rash, sore throat, sneezing, headache, swelling,6",IBS
"nausea, weight gain, fatigue, headache,4",Gastritis
"muscle pain, chest pain, shortness of breath, fatigue, weight gain,5",Gastritis
"anxiety, fever, vomiting, weight loss, nausea,5",COVID-19
"nausea, headache, insomnia, abdominal pain, diarrhea, chest pain, vomiting,7",Influenza
"muscle pain, vomiting, fever, weight gain, depression, cough,6",Food Poisoning
"cough, back pain, chest pain, swelling, anxiety, shortness of breath, fever,7",Gastritis
"tremors, rash, sore throat, dizziness, runny nose, fatigue,6",Chronic Kidney Disease
"cough, fever, headache, abdominal pain,4",Tuberculosis
"weight loss, shortness of breath, appetite loss, chest pain,4",Dementia
"sweating, depression, nausea, anxiety, insomnia,5",Migraine
"blurred vision, sneezing, weight gain, insomnia,4",Common Cold
"sore throat, fever, dizziness,3",Influenza
"sneezing, anxiety, cough, diarrhea, back pain, muscle pain,6",Bronchitis
"chest pain, headache, insomnia, sweating, fatigue,5",IBS
"anxiety, appetite loss, nausea, blurred vision, abdominal pain, muscle pain, weight gain,7",Liver Disease
"diarrhea, sweating, chest pain, abdominal pain, dizziness, anxiety, muscle pain,7",Anxiety
"appetite loss, insomnia, vomiting, back pain,4",Tuberculosis
"cough, rash, blurred vision, runny nose, weight gain, chest pain,6",Obesity
"abdominal pain, fatigue, fever, cough, sore throat,5",Ulcer
"rash, sore throat, nausea, shortness of breath, tremors, sneezing,6",Chronic Kidney Disease
"shortness of breath, abdominal pain, cough, blurred vision, appetite loss, headache, fever,7",Dementia
"sneezing, depression, swelling, cough, runny nose, abdominal pain, weight gain,7",Diabetes
"abdominal pain, back pain, swelling, diarrhea, headache, insomnia,6",COVID-19
"anxiety, blurred vision, fatigue,3",Arthritis
"runny nose, diarrhea, nausea, headache, blurred vision,5",Anxiety
"rash, chest pain, headache, joint pain, anxiety, blurred vision,6",COVID-19
"anxiety, weight gain, sweating,3",Diabetes
"vomiting, chest pain, weight loss, depression,4",Heart Disease
"sore throat, blurred vision, abdominal pain, shortness of breath, dizziness, joint pain,6",Thyroid Disorder
"rash, sneezing, vomiting, fever, headache, blurred vision, appetite loss,7",Ulcer
"sneezing, blurred vision, runny nose, sore throat, shortness of breath,5",Stroke
"back pain, tremors, cough, anxiety, headache, fatigue, diarrhea,7",Hypertension
"vomiting, sweating, nausea, sneezing, shortness of breath, fever, tremors,7",Pneumonia
"appetite loss, shortness of breath, diarrhea, sweating, sore throat, weight loss,6",Chronic Kidney Disease
"depression, muscle pain, insomnia, swelling, rash, sore throat,6",Dermatitis
"joint pain, shortness of breath, dizziness, anxiety, weight loss, headache, sore throat,7",Pneumonia
"sneezing, muscle pain, swelling,3",Food Poisoning
"depression, anxiety, fever, weight loss, rash, chest pain, appetite loss,7",COVID-19
"rash, diarrhea, dizziness, weight gain,4",Hypertension
"nausea, fever, swelling, blurred vision, appetite loss, dizziness,6",Parkinson's
"blurred vision, swelling, chest pain, headache, fever, anxiety,6",Common Cold
"appetite loss, diarrhea, anxiety, muscle pain, runny nose, cough,6",Dementia
"fatigue, back pain, swelling,3",IBS
"diarrhea, headache, nausea,3",Depression
"blurred vision, chest pain, diarrhea, vomiting, sneezing,5",Asthma
"blurred vision, dizziness, joint pain, cough, headache, appetite loss,6",Hypertension
"sore throat, tremors, joint pain, diarrhea,4",Dermatitis
"joint pain, nausea, sweating, diarrhea, anxiety, depression, sneezing,7",Gastritis
"vomiting, weight gain, muscle pain, back pain, blurred vision,5",Stroke
"joint pain, blurred vision, cough, runny nose, weight gain, vomiting, back pain,7",Sinusitis
"depression, fever, back pain, runny nose, sore throat,5",Pneumonia
"muscle pain, swelling, sweating,3",Anxiety
"weight gain, blurred vision, insomnia, weight loss, rash,5",Anemia
"depression, vomiting, tremors, headache, cough,5",Obesity
"depression, rash, diarrhea, shortness of breath,4",Stroke
"dizziness, fever, blurred vision, sore throat, tremors, nausea, insomnia,7",Allergy
"shortness of breath, sweating, abdominal pain, muscle pain, fatigue, depression,6",Thyroid Disorder
